function, method, run, loss, l2
f5, glorot, 2, 0.00029385651578195393, 0.036286611109972
f5, power, 2, 9.705201227916405e-05, 0.027725834399461746
f5, baseline, 3, 0.00024945804034359753, 0.03419894352555275
f5, glorot, 3, 0.00025430385721847415, 0.034993406385183334
f5, power, 3, 6.180969648994505e-05, 0.025118565186858177
f5, baseline, 4, 0.00026168383192270994, 0.03546106070280075
f5, glorot, 4, 0.00037553097354248166, 0.03898462653160095
f5, power, 4, 0.00012610874546226114, 0.03028973750770092
f5, baseline, 5, 0.0003712256147991866, 0.038866885006427765
f5, glorot, 5, 0.0002617757418192923, 0.03550292178988457
f5, power, 5, 0.0002596613485366106, 0.0352165512740612
f6, baseline, 1, 1380.16259765625, 0.99973464012146
f6, glorot, 1, 2314.127685546875, 0.9999340176582336
f6, power, 1, 1113.29833984375, 0.9996722340583801
f6, baseline, 2, 2329.49560546875, 0.9999374151229858
f6, glorot, 2, 2299.23193359375, 0.9999319314956665
f6, power, 2, 1041.397705078125, 0.9996534585952759
f6, baseline, 3, 1392.11865234375, 0.999737024307251
f6, glorot, 3, 2315.521728515625, 0.9999342560768127
f6, power, 3, 1031.202880859375, 0.9996278285980225
f6, baseline, 4, 2324.01806640625, 0.9999362230300903
f6, glorot, 4, 2290.36669921875, 0.999930202960968
f6, power, 4, 1455.55859375, 0.9997559785842896
f6, baseline, 5, 1053.093505859375, 0.9996516704559326
f6, glorot, 5, 2305.342041015625, 0.999932587146759
f6, power, 5, 1026.421875, 0.9996435046195984
f7, baseline, 1, 6.117008979344973e-06, 0.008169923909008503
f7, glorot, 1, 1.9046650777454488e-05, 0.014037515968084335
f7, power, 1, 2.8493454351519176e-07, 0.0020985545124858618
f7, baseline, 2, 5.229474481893703e-06, 0.007209863048046827
f7, glorot, 2, 2.2165158952702768e-05, 0.01488705538213253
f7, power, 2, 1.236565026374592e-06, 0.0035045561380684376
f7, baseline, 3, 3.7125739709154004e-06, 0.006172144785523415
f7, glorot, 3, 7.801973879395518e-06, 0.009002242237329483
f7, power, 3, 2.1466623820742825e-06, 0.004230094607919455
f7, baseline, 4, 2.3271270492841722e-06, 0.004980446770787239
f7, glorot, 4, 1.3574783224612474e-05, 0.011850631795823574
f7, power, 4, 9.990235412260517e-07, 0.0031334946397691965
f7, baseline, 5, 6.396064691216452e-06, 0.00732533959671855
f7, glorot, 5, 1.1888937478943262e-05, 0.011116678826510906
f7, power, 5, 7.203200880212535e-07, 0.0026546355802565813
f8, baseline, 1, 0.0007604429847560823, 0.9999523162841797
f8, glorot, 1, 0.08134938776493073, 0.9999590516090393
f8, power, 1, 0.17861096560955048, 0.9999635219573975
f8, baseline, 2, 0.16012698411941528, 0.9999667406082153
f8, glorot, 2, 0.1013822928071022, 0.9999635815620422
f8, power, 2, 0.19349509477615356, 0.9999625086784363
f8, baseline, 3, 0.0013137941714376211, 0.9999599456787109
f8, glorot, 3, 0.12448566406965256, 0.9999635219573975
f8, power, 3, 0.0007585512939840555, 0.9999570846557617
