function, method, run, loss, l2
f5, power, 4, 1.203285592055181e-06, 0.014145912602543831
f5, baseline, 5, 0.00016999173385556787, 0.6305110454559326
f5, glorot, 5, 5.265478648652788e-06, 0.015911562368273735
f5, power, 5, 1.0598045264487155e-05, 0.015186220407485962
f6, baseline, 1, 30.30000877380371, 0.9997016191482544
f6, glorot, 1, 1531.4796142578125, 0.999760091304779
f6, power, 1, 0.005474769044667482, 0.9995728731155396
f6, baseline, 2, 1563.5450439453125, 0.99990314245224
f6, glorot, 2, 1566.4022216796875, 0.9997690320014954
f6, power, 2, 2.821058988571167, 0.9994469285011292
f6, baseline, 3, 95.6579818725586, 0.9997118711471558
f6, glorot, 3, 1523.501953125, 0.9997604489326477
f6, power, 3, 0.09748285263776779, 0.9995822310447693
f6, baseline, 4, 267.28436279296875, 0.9997327327728271
f6, glorot, 4, 1519.4912109375, 0.9997585415840149
f6, power, 4, 0.005386750679463148, 0.9995473623275757
f6, baseline, 5, 442.39715576171875, 0.9997783303260803
f6, glorot, 5, 1550.8424072265625, 0.9997604489326477
f6, power, 5, 0.04147714003920555, 0.9994295239448547
f7, baseline, 1, 0.0001259972486877814, 1.1156651973724365
f7, glorot, 1, 9.791302545636427e-06, 0.010266623459756374
f7, power, 1, 3.690473420192575e-07, 0.0020199918653815985
f7, baseline, 2, 0.00013203841808717698, 1.1462335586547852
f7, glorot, 2, 3.5776698496192694e-05, 0.02276039496064186
f7, power, 2, 1.9037105403185706e-06, 0.0014729180838912725
f7, baseline, 3, 8.684616477694362e-05, 0.9826592206954956
f7, glorot, 3, 1.2129162314522546e-06, 0.003983026836067438
f7, power, 3, 1.99419538660095e-08, 0.00071239925455302
f7, baseline, 4, 0.00010098829079652205, 1.0079551935195923
f7, glorot, 4, 6.634229066548869e-06, 0.008980550803244114
f7, power, 4, 1.1274175193420888e-07, 0.0012334560742601752
f7, baseline, 5, 8.728073589736596e-05, 1.0976200103759766
f7, glorot, 5, 9.2010742491766e-07, 0.0035438481718301773
f7, power, 5, 1.7193620749367255e-07, 0.0012502798344939947
f8, baseline, 1, 0.003330657258629799, 0.9999669790267944
f8, glorot, 1, 3.137868642807007, 0.9999813437461853
f8, power, 1, 9.942064207280055e-05, 0.9999605417251587
f8, baseline, 2, 0.0031794847454875708, 0.9999688863754272
f8, glorot, 2, 0.00018653017468750477, 0.9999600052833557
f8, power, 2, 8.927722956286743e-05, 0.9999620914459229
f8, baseline, 3, 0.012430725619196892, 0.9999849200248718
f8, glorot, 3, 3.4409287763992324e-05, 0.9999433755874634
f8, power, 3, 4.8333728045690805e-05, 0.999961793422699
f8, baseline, 4, 0.008566703647375107, 0.9999788403511047
f8, glorot, 4, 0.00018509635992813855, 0.999943733215332
f8, power, 4, 0.0015153067652136087, 0.9999581575393677
f8, baseline, 5, 0.0017593168886378407, 0.9999696612358093
f8, glorot, 5, 0.00013716763351112604, 0.9999484419822693
f8, power, 5, 3.2478828870807774e-06, 0.9999590516090393
