function, G, width, depth, run, loss, mse, l2
f1, 5, 32, 1, 5, 4.038389306515455e-06, 3.832761194644263e-06, 0.006069045513868332
f1, 5, 64, 1, 1, 1.7785179124985007e-06, 1.8331685396333341e-06, 0.00408064853399992
f1, 5, 64, 1, 2, 1.34717754463054e-06, 1.1830674111479311e-06, 0.003228358458727598
f1, 5, 64, 1, 3, 3.075265112784109e-06, 3.1555171062791487e-06, 0.005232358817011118
f1, 5, 64, 1, 4, 1.2809240388378385e-06, 1.2873662171841715e-06, 0.003457113169133663
f1, 5, 64, 1, 5, 1.3239114196039736e-06, 1.468691834816127e-06, 0.0034451072569936514
f1, 5, 2, 2, 1, 0.0007332580862566829, 0.0010131814051419497, 0.08731526136398315
f1, 5, 2, 2, 2, 0.00011855307820951566, 0.00012365489965304732, 0.03310387209057808
f1, 5, 2, 2, 3, 0.0005459837848320603, 0.0005319364136084914, 0.06959539651870728
f1, 5, 2, 2, 4, 0.00015442882431671023, 0.00017510315228719264, 0.0382271371781826
f1, 5, 2, 2, 5, 0.00025314136291854084, 0.00022338768758345395, 0.04733474925160408
f1, 5, 4, 2, 1, 2.4229599148384295e-05, 2.739462252066005e-05, 0.015537183731794357
f1, 5, 4, 2, 2, 3.994340295321308e-05, 4.792874096892774e-05, 0.019312189891934395
f1, 5, 4, 2, 3, 3.130698678432964e-05, 3.475781704764813e-05, 0.018182693049311638
f1, 5, 4, 2, 4, 2.8153199309599586e-05, 2.9085636924719438e-05, 0.01598460040986538
f1, 5, 4, 2, 5, 4.9358401156496257e-05, 5.1821640226989985e-05, 0.022280501201748848
f1, 5, 8, 2, 1, 1.8069875295623206e-05, 1.807495573302731e-05, 0.01303542498499155
f1, 5, 8, 2, 2, 2.2402793547371402e-05, 2.5735051167430356e-05, 0.014350757002830505
f1, 5, 8, 2, 3, 6.559605481015751e-06, 6.9780198828084394e-06, 0.007940522395074368
f1, 5, 8, 2, 4, 1.240395795321092e-05, 1.1565856766537763e-05, 0.010694609023630619
f1, 5, 8, 2, 5, 1.1886963875440415e-05, 1.2774873539456166e-05, 0.010678378865122795
f1, 5, 16, 2, 1, 3.5283540000818903e-06, 3.434377049416071e-06, 0.00569970952346921
f1, 5, 16, 2, 2, 6.53828510621679e-06, 7.413740149786463e-06, 0.007916745729744434
f1, 5, 16, 2, 3, 7.304768587346189e-06, 7.90576268627774e-06, 0.00830657035112381
f1, 5, 16, 2, 4, 8.181329576473217e-06, 8.361417712876573e-06, 0.008827541023492813
f1, 5, 16, 2, 5, 5.093758773000445e-06, 5.266060725261923e-06, 0.0065516578033566475
f1, 5, 32, 2, 1, 2.0170498373772716e-06, 2.5227579953934764e-06, 0.004666753578931093
f1, 5, 32, 2, 2, 3.355697344886721e-06, 3.218765868950868e-06, 0.005409203469753265
f1, 5, 32, 2, 3, 2.060885663013323e-06, 2.232682845715317e-06, 0.004403368104249239
f1, 5, 32, 2, 4, 2.3032214357954217e-06, 3.003126948897261e-06, 0.005089628044515848
