function, G, width, depth, run, loss, mse, l2
f1, 5, 2, 3, 3, 0.0023780809715390205, 0.003390074707567692, 0.15337829291820526
f1, 5, 2, 3, 4, 0.033214129507541656, 0.032030753791332245, 0.5437354445457458
f1, 5, 2, 3, 5, 0.0036247221287339926, 0.00488668167963624, 0.1857210397720337
f1, 5, 4, 3, 1, 0.0013824966736137867, 0.0017642879392951727, 0.12357740849256516
f1, 5, 4, 3, 2, 0.0011417071800678968, 0.0012040676083415747, 0.10357775539159775
f1, 5, 4, 3, 3, 0.00039116429979912937, 0.00043841992737725377, 0.06298702210187912
f1, 5, 4, 3, 4, 0.0017547165043652058, 0.0018502514576539397, 0.1309051513671875
f1, 5, 4, 3, 5, 0.0017225058982148767, 0.002132514026015997, 0.1381663978099823
f1, 5, 8, 3, 1, 0.0005951703060418367, 0.0009496293496340513, 0.09164915978908539
f1, 5, 8, 3, 2, 0.0002748289844021201, 0.0004038260376546532, 0.060904402285814285
f1, 5, 8, 3, 3, 0.00021760685194749385, 0.0003252698224969208, 0.05284169688820839
f1, 5, 8, 3, 4, 0.00019667197193484753, 0.0002820176014211029, 0.0514102429151535
f1, 5, 8, 3, 5, 0.0006826957687735558, 0.0010790342930704355, 0.09980458766222
f1, 5, 16, 3, 1, 5.836818672833033e-05, 0.00016552225861232728, 0.03796561062335968
f1, 5, 16, 3, 2, 4.90944403281901e-05, 0.00017655387637205422, 0.03777433931827545
f1, 5, 16, 3, 3, 0.00013846735237166286, 0.0003522910992614925, 0.05374206230044365
f1, 5, 16, 3, 4, 5.032824265072122e-05, 0.00015170819824561477, 0.03837720677256584
f1, 5, 16, 3, 5, 6.737387593602762e-05, 0.00020405626855790615, 0.04262111335992813
f1, 5, 32, 3, 1, 4.791285391547717e-05, 0.0002442943805363029, 0.044252607971429825
f1, 5, 32, 3, 2, 3.313842898933217e-05, 0.0002022082917392254, 0.04451519623398781
f1, 5, 32, 3, 3, 1.3455108273774385e-05, 0.0001340768503723666, 0.034756433218717575
f1, 5, 32, 3, 4, 2.5415416530449875e-05, 0.0001314239634666592, 0.034288518130779266
f1, 5, 32, 3, 5, 1.925509968714323e-05, 0.00023148313630372286, 0.04601956903934479
f1, 5, 64, 3, 1, 5.6091950682457536e-05, 0.00028544763335958123, 0.050346583127975464
f1, 5, 64, 3, 2, 2.8293290597503074e-05, 0.00016766937915235758, 0.03956884518265724
f1, 5, 64, 3, 3, 7.398906745947897e-05, 0.00028764308081008494, 0.051538340747356415
f1, 5, 64, 3, 4, 4.551769234240055e-05, 0.00022753316443413496, 0.04652358591556549
