function, G, width, depth, run, loss, mse, l2
f1, 5, 4, 2, 1, 0.00015068594075273722, 0.004770255647599697, 0.05928701162338257
f1, 5, 4, 2, 2, 0.0002693632850423455, 0.0027703114319592714, 0.10063964873552322
f1, 5, 4, 2, 3, 0.00022866184008307755, 0.001970176585018635, 0.07050851732492447
f1, 5, 4, 2, 4, 0.0009159155306406319, 0.002470871666446328, 0.11486706137657166
f1, 5, 4, 2, 5, 0.0010902544017881155, 0.005517357960343361, 0.13165278732776642
f1, 5, 8, 2, 1, 8.702896593604237e-05, 0.00481606787070632, 0.08958742022514343
f1, 5, 8, 2, 2, 4.989654553355649e-05, 0.002382868668064475, 0.06593769043684006
f1, 5, 8, 2, 3, 2.7943575332756154e-05, 0.0024511488154530525, 0.0592886283993721
f1, 5, 8, 2, 4, 4.952413291903213e-05, 0.0025278707034885883, 0.05418059229850769
f1, 5, 8, 2, 5, 0.00019058777252212167, 0.004339698236435652, 0.1344309151172638
f1, 5, 16, 2, 1, 2.2006195649737492e-05, 0.004316098056733608, 0.10406429320573807
f1, 5, 16, 2, 2, 1.7148513506981544e-05, 0.003232864663004875, 0.07621660828590393
f1, 5, 16, 2, 3, 2.447413316986058e-05, 0.003083181567490101, 0.08417218178510666
f1, 5, 16, 2, 4, 2.2759682906325907e-05, 0.0054997787810862064, 0.0978783667087555
f1, 5, 16, 2, 5, 2.4959603251772933e-05, 0.007918949238955975, 0.18167227506637573
f1, 5, 32, 2, 1, 1.6597383364569396e-05, 0.010107423178851604, 0.1427503079175949
f1, 5, 32, 2, 2, 1.9326542314956896e-05, 0.011236319318413734, 0.14393861591815948
f1, 5, 32, 2, 3, 6.217712780198781e-06, 0.009713951498270035, 0.15636229515075684
f1, 5, 32, 2, 4, 3.597288377932273e-05, 0.010678754188120365, 0.1613171398639679
f1, 5, 32, 2, 5, 2.464991484885104e-05, 0.007838762365281582, 0.1434197574853897
f1, 5, 64, 2, 1, 1.4241533790482208e-05, 0.009213629178702831, 0.1694854348897934
f1, 5, 64, 2, 2, 1.7726484657032415e-05, 0.012161546386778355, 0.19388070702552795
f1, 5, 64, 2, 3, 7.482576165784849e-06, 0.01364174298942089, 0.19767291843891144
f1, 5, 64, 2, 4, 1.7834370737546124e-05, 0.011625757440924644, 0.17314794659614563
f1, 5, 64, 2, 5, 7.112451839930145e-06, 0.010501599870622158, 0.1552097350358963
f1, 5, 2, 3, 1, 0.05079270154237747, 0.09095535427331924, 0.8080105781555176
f1, 5, 2, 3, 2, 0.03191540017724037, 0.06143854558467865, 0.6261714100837708
f1, 5, 2, 3, 3, 0.035293545573949814, 0.060785528272390366, 0.6790874600410461
f1, 5, 2, 3, 4, 0.033665627241134644, 0.06651362776756287, 0.6600044965744019
f1, 5, 2, 3, 5, 0.011692690663039684, 0.03137020766735077, 0.37546688318252563
f1, 5, 4, 3, 1, 0.007876453921198845, 0.02770623005926609, 0.42633095383644104
f1, 5, 4, 3, 2, 0.011999325826764107, 0.060404449701309204, 0.618514895439148
f1, 5, 4, 3, 3, 0.006787885446101427, 0.027241874486207962, 0.45689138770103455
f1, 5, 4, 3, 4, 0.004969782195985317, 0.037430133670568466, 0.43414416909217834
