function, G, width, depth, run, loss, mse, l2
f1, 5, 4, 2, 3, 5.343524208001327e-06, 5.428258646134054e-06, 0.007075341884046793
f1, 5, 4, 2, 4, 7.682719115109649e-06, 7.987361641426105e-06, 0.008491363376379013
f1, 5, 4, 2, 5, 1.3337607015273534e-05, 1.5004409760877024e-05, 0.01131020300090313
f1, 5, 8, 2, 1, 6.026670689607272e-06, 6.388864221662516e-06, 0.007547377143055201
f1, 5, 8, 2, 2, 4.7582202569174115e-06, 4.515570708463201e-06, 0.006578559521585703
f1, 5, 8, 2, 3, 4.287145202397369e-06, 4.772532975039212e-06, 0.006472203880548477
f1, 5, 8, 2, 4, 3.03826368508453e-06, 2.665469992280123e-06, 0.005006317514926195
f1, 5, 8, 2, 5, 3.84977056455682e-06, 4.244141109666089e-06, 0.006214722990989685
f1, 5, 16, 2, 1, 4.2265101001248695e-06, 4.485593308345415e-06, 0.006452474277466536
f1, 5, 16, 2, 2, 2.046759391305386e-06, 2.107352202074253e-06, 0.004355491604655981
f1, 5, 16, 2, 3, 5.845252871949924e-06, 6.156645667942939e-06, 0.007393532432615757
f1, 5, 16, 2, 4, 5.572896498051705e-06, 5.514201802725438e-06, 0.007056285161525011
f1, 5, 16, 2, 5, 2.866517661459511e-06, 3.012637762367376e-06, 0.0051737092435359955
f1, 5, 32, 2, 1, 2.457765958752134e-06, 2.6146853997488506e-06, 0.004785303026437759
f1, 5, 32, 2, 2, 4.442712452146225e-06, 4.715768682217458e-06, 0.00656354334205389
f1, 5, 32, 2, 3, 3.79079710910446e-06, 3.6295418794907164e-06, 0.005912367720156908
f1, 5, 32, 2, 4, 2.023125944106141e-06, 2.031272742897272e-06, 0.004262567963451147
f1, 5, 32, 2, 5, 3.1100676096684765e-06, 9.666454388934653e-06, 0.00946669653058052
f1, 5, 64, 2, 1, 4.892085144092562e-06, 5.098430392536102e-06, 0.006918812170624733
f1, 5, 64, 2, 2, 2.5760080006875796e-06, 3.0523510758939665e-06, 0.005152001045644283
f1, 5, 64, 2, 3, 2.6735733626992442e-05, 2.451266482239589e-05, 0.014766572043299675
f1, 5, 64, 2, 4, 0.00016161381790880114, 0.0001008219551295042, 0.02974931336939335
f1, 5, 64, 2, 5, 1.3103571291139815e-05, 1.3641506484418642e-05, 0.011319358833134174
f1, 5, 2, 3, 1, 9.89500495052198e-06, 1.0793577530421317e-05, 0.009778234176337719
f1, 5, 2, 3, 2, 1.0448068678670097e-05, 1.0320564797439147e-05, 0.00963682122528553
f1, 5, 2, 3, 3, 5.696849711966934e-06, 6.370752089424059e-06, 0.007523254491388798
f1, 5, 2, 3, 4, 4.8176630116358865e-06, 5.228178906691028e-06, 0.006985065061599016
f1, 5, 2, 3, 5, 3.384989440746722e-06, 4.149993856117362e-06, 0.0062784054316580296
f1, 5, 4, 3, 1, 5.5430023166991305e-06, 6.143950940895593e-06, 0.007237870711833239
f1, 5, 4, 3, 2, 5.124644758325303e-06, 5.494326160260243e-06, 0.007043627556413412
f1, 5, 4, 3, 3, 4.370756869320758e-06, 5.48000161870732e-06, 0.006841719150543213
f1, 5, 4, 3, 4, 2.9196066861914005e-06, 3.182276259394712e-06, 0.005455234553664923
f1, 5, 4, 3, 5, 5.4032202569942456e-06, 5.420680281531531e-06, 0.0071175117045640945
f1, 5, 8, 3, 1, 3.4426088859618176e-06, 3.2568100323260296e-06, 0.0057496544905006886
f1, 5, 8, 3, 2, 3.4549225347291213e-06, 3.877386006934103e-06, 0.005858100019395351
f1, 5, 8, 3, 3, 1.122644061979372e-05, 1.3407801816356368e-05, 0.011090897023677826
f1, 5, 8, 3, 4, 2.5238585294573568e-05, 1.894885463116225e-05, 0.013246465474367142
f1, 5, 8, 3, 5, 4.417720447236206e-06, 4.372210696601542e-06, 0.006433316506445408
f1, 5, 16, 3, 1, 1.9239319044572767e-06, 2.1048654161859304e-06, 0.004411954432725906
f1, 5, 16, 3, 2, 2.276518898725044e-06, 2.6116711069334997e-06, 0.004773757886141539
f1, 5, 16, 3, 3, 4.250433448760305e-06, 4.345040451880777e-06, 0.006310801021754742
f1, 5, 16, 3, 4, 3.5511795886122854e-06, 2.1422779354907107e-06, 0.00473125372081995
f1, 5, 16, 3, 5, 2.436961722196429e-06, 2.693807118703262e-06, 0.004938297439366579
f1, 5, 32, 3, 1, 2.821453563228715e-06, 4.109151632292196e-06, 0.006196054629981518
f1, 5, 32, 3, 2, 2.0557056359393755e-06, 2.5284141429438023e-06, 0.004650076385587454
f1, 5, 32, 3, 3, 1.658458677411545e-05, 1.7475231288699433e-05, 0.012459371238946915
f1, 5, 32, 3, 4, 8.622921086498536e-06, 8.96587243914837e-06, 0.008661160245537758
f1, 5, 32, 3, 5, 9.223228698829189e-05, 7.681660645175725e-05, 0.026295026764273643
f1, 5, 64, 3, 1, 6.636168109253049e-05, 0.00010779602598631755, 0.03069179505109787
f1, 5, 64, 3, 2, 4.677979086409323e-05, 4.941761289956048e-05, 0.021160874515771866
f1, 5, 64, 3, 3, 4.950002221448813e-06, 5.849043645866914e-06, 0.007092445623129606
f1, 5, 64, 3, 4, 1.7047555957105942e-05, 1.7237465726793744e-05, 0.012630325742065907
f1, 5, 64, 3, 5, 6.210677838680567e-06, 7.630751497345045e-06, 0.008542361669242382
f1, 5, 2, 4, 1, 6.384448170138057e-06, 7.664475560886785e-06, 0.00851276982575655
f1, 5, 2, 4, 2, 6.87640203977935e-05, 6.668087735306472e-05, 0.02525079995393753
f1, 5, 2, 4, 3, 4.714924216386862e-06, 5.568491360463668e-06, 0.006947536952793598
