pde, G, width, depth, pow_basis, pow_res, run, loss, l2
allen-cahn, 5, 2, 1, 1.0, 1.5, 3, 0.023963162675499916, 0.67721027135849
allen-cahn, 5, 2, 1, 1.0, 1.75, 1, 0.02053942158818245, 0.6183440089225769
allen-cahn, 5, 2, 1, 1.0, 1.75, 2, 0.02433699741959572, 0.6952238082885742
allen-cahn, 5, 2, 1, 1.0, 1.75, 3, 0.02392776682972908, 0.6763920187950134
allen-cahn, 5, 2, 1, 1.0, 2.0, 1, 0.020616905763745308, 0.6192886829376221
allen-cahn, 5, 2, 1, 1.0, 2.0, 2, 0.024322694167494774, 0.6953088641166687
allen-cahn, 5, 2, 1, 1.0, 2.0, 3, 0.023882359266281128, 0.6752285361289978
allen-cahn, 5, 2, 1, 1.25, 0.0, 1, 0.0332069918513298, 0.7299258708953857
allen-cahn, 5, 2, 1, 1.25, 0.0, 2, 0.13027113676071167, 1.1375566720962524
allen-cahn, 5, 2, 1, 1.25, 0.0, 3, 0.710811197757721, 1.0720176696777344
allen-cahn, 5, 2, 1, 1.25, 0.25, 1, 0.01744849607348442, 0.5949394106864929
allen-cahn, 5, 2, 1, 1.25, 0.25, 2, 0.02496969699859619, 0.7311903834342957
allen-cahn, 5, 2, 1, 1.25, 0.25, 3, 0.03088401071727276, 0.7681999206542969
allen-cahn, 5, 2, 1, 1.25, 0.5, 1, 0.017839612439274788, 0.5977957844734192
allen-cahn, 5, 2, 1, 1.25, 0.5, 2, 0.018554653972387314, 0.6072085499763489
allen-cahn, 5, 2, 1, 1.25, 0.5, 3, 0.024782851338386536, 0.6774158477783203
allen-cahn, 5, 2, 1, 1.25, 0.75, 1, 0.017860379070043564, 0.5946678519248962
allen-cahn, 5, 2, 1, 1.25, 0.75, 2, 0.020230337977409363, 0.5922302603721619
allen-cahn, 5, 2, 1, 1.25, 0.75, 3, 0.0190697330981493, 0.5782566070556641
allen-cahn, 5, 2, 1, 1.25, 1.0, 1, 0.018781937658786774, 0.6083686351776123
allen-cahn, 5, 2, 1, 1.25, 1.0, 2, 0.019265538081526756, 0.5878800749778748
allen-cahn, 5, 2, 1, 1.25, 1.0, 3, 0.018947767093777657, 0.5756495594978333
allen-cahn, 5, 2, 1, 1.25, 1.25, 1, 0.01867333985865116, 0.6084067821502686
allen-cahn, 5, 2, 1, 1.25, 1.25, 2, 0.018602279946208, 0.5630568861961365
allen-cahn, 5, 2, 1, 1.25, 1.25, 3, 0.018850047141313553, 0.5747476816177368
allen-cahn, 5, 2, 1, 1.25, 1.5, 1, 0.018856672570109367, 0.6111971139907837
allen-cahn, 5, 2, 1, 1.25, 1.5, 2, 0.019041310995817184, 0.5705119967460632
allen-cahn, 5, 2, 1, 1.25, 1.5, 3, 0.01880372315645218, 0.5744550824165344
allen-cahn, 5, 2, 1, 1.25, 1.75, 1, 0.018923204392194748, 0.6118505597114563
allen-cahn, 5, 2, 1, 1.25, 1.75, 2, 0.01927093230187893, 0.5790683031082153
allen-cahn, 5, 2, 1, 1.25, 1.75, 3, 0.01883729360997677, 0.5743817090988159
allen-cahn, 5, 2, 1, 1.25, 2.0, 1, 0.01887616142630577, 0.6117169260978699
allen-cahn, 5, 2, 1, 1.25, 2.0, 2, 0.01919853501021862, 0.5769425630569458
allen-cahn, 5, 2, 1, 1.25, 2.0, 3, 0.01890253648161888, 0.5749126672744751
allen-cahn, 5, 2, 1, 1.5, 0.0, 1, 0.049125514924526215, 0.7100992202758789
allen-cahn, 5, 2, 1, 1.5, 0.0, 2, 0.1292169988155365, 1.1390700340270996
allen-cahn, 5, 2, 1, 1.5, 0.0, 3, 0.0362141951918602, 0.6924506425857544
allen-cahn, 5, 2, 1, 1.5, 0.25, 1, 0.023827295750379562, 0.6924859285354614
allen-cahn, 5, 2, 1, 1.5, 0.25, 2, 0.03172712400555611, 0.7892669439315796
allen-cahn, 5, 2, 1, 1.5, 0.25, 3, 0.06110144779086113, 1.017326831817627
allen-cahn, 5, 2, 1, 1.5, 0.5, 1, 0.02135126106441021, 0.6412927508354187
allen-cahn, 5, 2, 1, 1.5, 0.5, 2, 0.019626518711447716, 0.5996909141540527
allen-cahn, 5, 2, 1, 1.5, 0.5, 3, 0.023419799283146858, 0.6548594832420349
allen-cahn, 5, 2, 1, 1.5, 0.75, 1, 0.017714206129312515, 0.6000672578811646
allen-cahn, 5, 2, 1, 1.5, 0.75, 2, 0.020092137157917023, 0.6227548122406006
allen-cahn, 5, 2, 1, 1.5, 0.75, 3, 0.02062479965388775, 0.6265713572502136
allen-cahn, 5, 2, 1, 1.5, 1.0, 1, 0.017239587381482124, 0.5885561108589172
allen-cahn, 5, 2, 1, 1.5, 1.0, 2, 0.02013612538576126, 0.6271728277206421
allen-cahn, 5, 2, 1, 1.5, 1.0, 3, 0.020432058721780777, 0.6296762824058533
allen-cahn, 5, 2, 1, 1.5, 1.25, 1, 0.023193754255771637, 0.6265285015106201
allen-cahn, 5, 2, 1, 1.5, 1.25, 2, 0.019129076972603798, 0.6153261065483093
allen-cahn, 5, 2, 1, 1.5, 1.25, 3, 0.01885407418012619, 0.5737780332565308
allen-cahn, 5, 2, 1, 1.5, 1.5, 1, 0.0252285934984684, 0.6742767095565796
allen-cahn, 5, 2, 1, 1.5, 1.5, 2, 0.0192483589053154, 0.6148841381072998
allen-cahn, 5, 2, 1, 1.5, 1.5, 3, 0.01876411959528923, 0.5725801587104797
allen-cahn, 5, 2, 1, 1.5, 1.75, 1, 0.024199863895773888, 0.6691826581954956
allen-cahn, 5, 2, 1, 1.5, 1.75, 2, 0.01924990303814411, 0.6142337322235107
allen-cahn, 5, 2, 1, 1.5, 1.75, 3, 0.01866713911294937, 0.5722237825393677
allen-cahn, 5, 2, 1, 1.5, 2.0, 1, 0.025439824908971786, 0.6907142400741577
allen-cahn, 5, 2, 1, 1.5, 2.0, 2, 0.019256344065070152, 0.6149595975875854
allen-cahn, 5, 2, 1, 1.5, 2.0, 3, 0.0187675841152668, 0.5858657956123352
allen-cahn, 5, 2, 1, 1.75, 0.0, 1, 0.04957898333668709, 0.7084727883338928
allen-cahn, 5, 2, 1, 1.75, 0.0, 2, 0.1267819106578827, 1.1384413242340088
allen-cahn, 5, 2, 1, 1.75, 0.0, 3, 0.03516904264688492, 0.6836273670196533
allen-cahn, 5, 2, 1, 1.75, 0.25, 1, 0.020212583243846893, 0.635614275932312
allen-cahn, 5, 2, 1, 1.75, 0.25, 2, 0.0314934141933918, 0.7793573141098022
allen-cahn, 5, 2, 1, 1.75, 0.25, 3, 0.061422280967235565, 1.0199432373046875
allen-cahn, 5, 2, 1, 1.75, 0.5, 1, 0.021827332675457, 0.6441854238510132
allen-cahn, 5, 2, 1, 1.75, 0.5, 2, 0.019467569887638092, 0.598743200302124
allen-cahn, 5, 2, 1, 1.75, 0.5, 3, 0.0215208288282156, 0.6371433138847351
allen-cahn, 5, 2, 1, 1.75, 0.75, 1, 0.020481450483202934, 0.6185344457626343
allen-cahn, 5, 2, 1, 1.75, 0.75, 2, 0.020459650084376335, 0.6258077621459961
allen-cahn, 5, 2, 1, 1.75, 0.75, 3, 0.02056167833507061, 0.6236063838005066
allen-cahn, 5, 2, 1, 1.75, 1.0, 1, 0.017046816647052765, 0.5846793055534363
allen-cahn, 5, 2, 1, 1.75, 1.0, 2, 0.01988348923623562, 0.6214884519577026
allen-cahn, 5, 2, 1, 1.75, 1.0, 3, 0.0204740222543478, 0.6222579479217529
