pde, G, width, depth, run, loss, l2
allen-cahn, 5, 2, 2, 4, 0.015565915033221245, 0.5419750809669495
allen-cahn, 5, 2, 2, 5, 0.01564091071486473, 0.5399999022483826
allen-cahn, 5, 4, 2, 1, 0.01564115844666958, 0.5551748871803284
allen-cahn, 5, 4, 2, 2, 0.015451669692993164, 0.5411007404327393
allen-cahn, 5, 4, 2, 3, 0.01575770229101181, 0.5543140769004822
allen-cahn, 5, 4, 2, 4, 0.015874948352575302, 0.5379202365875244
allen-cahn, 5, 4, 2, 5, 0.01586795598268509, 0.5505318641662598
allen-cahn, 5, 8, 2, 1, 0.016550838947296143, 0.5681095123291016
allen-cahn, 5, 8, 2, 2, 0.01567639224231243, 0.5404952764511108
allen-cahn, 5, 8, 2, 3, 0.015426699072122574, 0.55571049451828
allen-cahn, 5, 8, 2, 4, 0.016623683273792267, 0.5829732418060303
allen-cahn, 5, 8, 2, 5, 0.01558904442936182, 0.5634686946868896
allen-cahn, 5, 16, 2, 1, 0.01641850918531418, 0.5621221661567688
allen-cahn, 5, 16, 2, 2, 0.015389479696750641, 0.5451407432556152
allen-cahn, 5, 16, 2, 3, 0.01601409539580345, 0.5595256090164185
allen-cahn, 5, 16, 2, 4, 0.01542314887046814, 0.5373331308364868
allen-cahn, 5, 16, 2, 5, 0.016721203923225403, 0.5356011390686035
allen-cahn, 5, 32, 2, 1, 0.016098598018288612, 0.5763955116271973
allen-cahn, 5, 32, 2, 2, 0.02731308713555336, 0.5590808987617493
allen-cahn, 5, 32, 2, 3, 0.017761757597327232, 0.6118241548538208
allen-cahn, 5, 32, 2, 4, 0.08187408745288849, 0.6212029457092285
allen-cahn, 5, 32, 2, 5, 0.017052670940756798, 0.5896682739257812
allen-cahn, 5, 64, 2, 1, 0.04803762957453728, 0.6655434966087341
allen-cahn, 5, 64, 2, 2, 0.025709079578518867, 0.7362726330757141
allen-cahn, 5, 64, 2, 3, 0.021391931921243668, 0.7663370370864868
allen-cahn, 5, 64, 2, 4, 0.018198462203145027, 0.649040699005127
allen-cahn, 5, 64, 2, 5, 0.02191448211669922, 0.7461221814155579
allen-cahn, 5, 2, 3, 1, 0.015397824347019196, 0.5335342288017273
allen-cahn, 5, 2, 3, 2, 0.015254000201821327, 0.5371173024177551
allen-cahn, 5, 2, 3, 3, 0.014872531406581402, 0.5366207957267761
allen-cahn, 5, 2, 3, 4, 0.015398005954921246, 0.5259226560592651
allen-cahn, 5, 2, 3, 5, 0.015390348620712757, 0.5352743268013
allen-cahn, 5, 4, 3, 1, 0.01534345094114542, 0.5346814393997192
allen-cahn, 5, 4, 3, 2, 0.015304181724786758, 0.5425295829772949
allen-cahn, 5, 4, 3, 3, 0.01544095203280449, 0.5339601635932922
allen-cahn, 5, 4, 3, 4, 0.015456277877092361, 0.5422335863113403
allen-cahn, 5, 4, 3, 5, 0.014972567558288574, 0.529620885848999
allen-cahn, 5, 8, 3, 1, 0.01568056084215641, 0.5286939740180969
allen-cahn, 5, 8, 3, 2, 0.015059849247336388, 0.5320377349853516
allen-cahn, 5, 8, 3, 3, 0.015410231426358223, 0.532403290271759
allen-cahn, 5, 8, 3, 4, 0.015386119484901428, 0.5292408466339111
allen-cahn, 5, 8, 3, 5, 0.015865886583924294, 0.5225849747657776
allen-cahn, 5, 16, 3, 1, 0.014427200891077518, 0.5083797574043274
allen-cahn, 5, 16, 3, 2, 0.0011832958552986383, 0.14724376797676086
allen-cahn, 5, 16, 3, 3, 0.014095911756157875, 0.4726385772228241
allen-cahn, 5, 16, 3, 4, 0.012873545289039612, 0.3669472634792328
allen-cahn, 5, 16, 3, 5, 0.0025495083536952734, 0.2397051751613617
allen-cahn, 5, 32, 3, 1, 0.01669372245669365, 0.5819612145423889
allen-cahn, 5, 32, 3, 2, 0.017746049910783768, 0.5547893047332764
