method,pde,G,width,depth,pow_res,pow_basis,run,loss,l2
lecun_norm,ac,5,64,1,,,5,0.0351256318390369,0.8697057962417603
lecun_norm,ac,5,2,2,,,1,0.0171225443482399,0.5836192965507507
lecun_norm,ac,5,2,2,,,2,0.0157849490642547,0.5666153430938721
lecun_norm,ac,5,2,2,,,3,0.0155056426301598,0.5369889736175537
lecun_norm,ac,5,2,2,,,4,0.0155659150332212,0.5419750809669495
lecun_norm,ac,5,2,2,,,5,0.0156409107148647,0.5399999022483826
lecun_norm,ac,5,4,2,,,1,0.0156411584466695,0.5551748871803284
lecun_norm,ac,5,4,2,,,2,0.0154516696929931,0.5411007404327393
lecun_norm,ac,5,4,2,,,3,0.0157577022910118,0.5543140769004822
lecun_norm,ac,5,4,2,,,4,0.0158749483525753,0.5379202365875244
lecun_norm,ac,5,4,2,,,5,0.015867955982685,0.5505318641662598
lecun_norm,ac,5,8,2,,,1,0.0165508389472961,0.5681095123291016
lecun_norm,ac,5,8,2,,,2,0.0156763922423124,0.5404952764511108
lecun_norm,ac,5,8,2,,,3,0.0154266990721225,0.55571049451828
lecun_norm,ac,5,8,2,,,4,0.0166236832737922,0.5829732418060303
lecun_norm,ac,5,8,2,,,5,0.0155890444293618,0.5634686946868896
lecun_norm,ac,5,16,2,,,1,0.0164185091853141,0.5621221661567688
lecun_norm,ac,5,16,2,,,2,0.0153894796967506,0.5451407432556152
lecun_norm,ac,5,16,2,,,3,0.0160140953958034,0.5595256090164185
lecun_norm,ac,5,16,2,,,4,0.0154231488704681,0.5373331308364868
lecun_norm,ac,5,16,2,,,5,0.0167212039232254,0.5356011390686035
lecun_norm,ac,5,32,2,,,1,0.0160985980182886,0.5763955116271973
lecun_norm,ac,5,32,2,,,2,0.0273130871355533,0.5590808987617493
lecun_norm,ac,5,32,2,,,3,0.0177617575973272,0.6118241548538208
lecun_norm,ac,5,32,2,,,4,0.0818740874528884,0.6212029457092285
lecun_norm,ac,5,32,2,,,5,0.0170526709407567,0.5896682739257812
lecun_norm,ac,5,64,2,,,1,0.0480376295745372,0.6655434966087341
lecun_norm,ac,5,64,2,,,2,0.0257090795785188,0.7362726330757141
lecun_norm,ac,5,64,2,,,3,0.0213919319212436,0.7663370370864868
lecun_norm,ac,5,64,2,,,4,0.018198462203145,0.649040699005127
lecun_norm,ac,5,64,2,,,5,0.0219144821166992,0.7461221814155579
lecun_norm,ac,5,2,3,,,1,0.0153978243470191,0.5335342288017273
lecun_norm,ac,5,2,3,,,2,0.0152540002018213,0.5371173024177551
lecun_norm,ac,5,2,3,,,3,0.0148725314065814,0.5366207957267761
lecun_norm,ac,5,2,3,,,4,0.0153980059549212,0.5259226560592651
lecun_norm,ac,5,2,3,,,5,0.0153903486207127,0.5352743268013
lecun_norm,ac,5,4,3,,,1,0.0153434509411454,0.5346814393997192
lecun_norm,ac,5,4,3,,,2,0.0153041817247867,0.5425295829772949
lecun_norm,ac,5,4,3,,,3,0.0154409520328044,0.5339601635932922
lecun_norm,ac,5,4,3,,,4,0.0154562778770923,0.5422335863113403
lecun_norm,ac,5,4,3,,,5,0.0149725675582885,0.529620885848999
lecun_norm,ac,5,8,3,,,1,0.0156805608421564,0.5286939740180969
lecun_norm,ac,5,8,3,,,2,0.0150598492473363,0.5320377349853516
lecun_norm,ac,5,8,3,,,3,0.0154102314263582,0.532403290271759
lecun_norm,ac,5,8,3,,,4,0.0153861194849014,0.5292408466339111
lecun_norm,ac,5,8,3,,,5,0.0158658865839242,0.5225849747657776
lecun_norm,ac,5,16,3,,,1,0.0144272008910775,0.5083797574043274
lecun_norm,ac,5,16,3,,,2,0.0011832958552986,0.1472437679767608
