pde, G, width, depth, run, loss, l2
allen-cahn, 5, 16, 4, 5, 0.0009881607256829739, 0.14054149389266968
allen-cahn, 5, 32, 4, 1, 0.014261780306696892, 0.5435381531715393
allen-cahn, 5, 32, 4, 2, 0.02459254302084446, 0.6392578482627869
allen-cahn, 5, 32, 4, 3, 0.014970705844461918, 0.5297858715057373
allen-cahn, 5, 32, 4, 4, 0.015958094969391823, 0.553835391998291
allen-cahn, 5, 32, 4, 5, 0.015921885147690773, 0.6082209944725037
allen-cahn, 5, 64, 4, 1, 0.04730765148997307, 0.9957566261291504
allen-cahn, 5, 64, 4, 2, 0.018137719482183456, 0.6891794800758362
allen-cahn, 5, 64, 4, 3, 0.03454310819506645, 0.8806532025337219
allen-cahn, 5, 64, 4, 4, 0.01862071454524994, 0.6715952754020691
allen-cahn, 5, 64, 4, 5, 0.027271173894405365, 0.7777499556541443
allen-cahn, 10, 2, 1, 1, 2.6006174087524414, 0.9362679123878479
allen-cahn, 10, 2, 1, 2, 0.01672852225601673, 0.5616447329521179
allen-cahn, 10, 2, 1, 3, 0.016835439950227737, 0.6114585399627686
allen-cahn, 10, 2, 1, 4, 0.06554090976715088, 0.9518121480941772
allen-cahn, 10, 2, 1, 5, 0.017239678651094437, 0.6071852445602417
allen-cahn, 10, 4, 1, 1, 0.01650993339717388, 0.5597947239875793
allen-cahn, 10, 4, 1, 2, 0.01594763621687889, 0.5509201884269714
allen-cahn, 10, 4, 1, 3, 0.015578686259686947, 0.5460615754127502
allen-cahn, 10, 4, 1, 4, 0.016213444992899895, 0.5569499135017395
allen-cahn, 10, 4, 1, 5, 0.016102176159620285, 0.5487236976623535
allen-cahn, 10, 8, 1, 1, 0.015767468139529228, 0.529175341129303
allen-cahn, 10, 8, 1, 2, 0.016123007982969284, 0.5613330602645874
allen-cahn, 10, 8, 1, 3, 0.01601478084921837, 0.5584809184074402
allen-cahn, 10, 8, 1, 4, 0.023051904514431953, 0.7671561241149902
allen-cahn, 10, 8, 1, 5, 0.023519031703472137, 0.7663442492485046
allen-cahn, 10, 16, 1, 1, 0.016588833183050156, 0.5633022785186768
allen-cahn, 10, 16, 1, 2, 0.016164785251021385, 0.5482754707336426
allen-cahn, 10, 16, 1, 3, 0.020028721541166306, 0.6620373725891113
allen-cahn, 10, 16, 1, 4, 0.01665610447525978, 0.5734190940856934
allen-cahn, 10, 16, 1, 5, 0.0237103421241045, 0.7158299088478088
allen-cahn, 10, 32, 1, 1, 0.025369353592395782, 0.6826868057250977
allen-cahn, 10, 32, 1, 2, 0.020663367584347725, 0.6782323718070984
allen-cahn, 10, 32, 1, 3, 0.021942520514130592, 0.7080340385437012
allen-cahn, 10, 32, 1, 4, 0.019147954881191254, 0.649627149105072
allen-cahn, 10, 32, 1, 5, 0.024740589782595634, 0.7446301579475403
allen-cahn, 10, 64, 1, 1, 0.06179118901491165, 0.7179532647132874
allen-cahn, 10, 64, 1, 2, 0.02176838368177414, 0.7379727959632874
allen-cahn, 10, 64, 1, 3, 0.022298423573374748, 0.7469305992126465
allen-cahn, 10, 64, 1, 4, 0.02281975746154785, 0.7575141787528992
allen-cahn, 10, 64, 1, 5, 0.020721420645713806, 0.7327406406402588
allen-cahn, 10, 2, 2, 1, 0.9275891184806824, 0.9708607196807861
allen-cahn, 10, 2, 2, 2, 0.015270262956619263, 0.5392666459083557
allen-cahn, 10, 2, 2, 3, 0.014748241752386093, 0.5394296646118164
allen-cahn, 10, 2, 2, 4, 0.7973297834396362, 0.8912362456321716
allen-cahn, 10, 2, 2, 5, 1.3017427921295166, 0.9446491599082947
allen-cahn, 10, 4, 2, 1, 0.0035930557642132044, 0.23957231640815735
allen-cahn, 10, 4, 2, 2, 0.01520167849957943, 0.5212805271148682
allen-cahn, 10, 4, 2, 3, 0.015200195834040642, 0.5292791724205017
allen-cahn, 10, 4, 2, 4, 0.015268989838659763, 0.5243002772331238
allen-cahn, 10, 4, 2, 5, 0.0018206811510026455, 0.15368413925170898
