pde, G, width, depth, run, loss, l2
allen-cahn, 5, 8, 4, 4, 0.011797603219747543, 0.5540255904197693
allen-cahn, 5, 8, 4, 5, 0.014817668125033379, 0.5379520654678345
allen-cahn, 5, 16, 4, 1, 0.016802290454506874, 0.5891464352607727
allen-cahn, 5, 16, 4, 2, 0.02240336313843727, 0.6159034967422485
allen-cahn, 5, 16, 4, 3, 0.025405239313840866, 0.7869841456413269
allen-cahn, 5, 16, 4, 4, 0.016027143225073814, 0.6395119428634644
allen-cahn, 5, 16, 4, 5, 0.025996670126914978, 0.6462000012397766
allen-cahn, 5, 32, 4, 1, 0.020637262612581253, 0.5976957678794861
allen-cahn, 5, 32, 4, 2, 0.022567298263311386, 0.5766017436981201
allen-cahn, 5, 32, 4, 3, 0.0277827400714159, 0.5666584968566895
allen-cahn, 5, 32, 4, 4, 0.01544942893087864, 0.6275245547294617
allen-cahn, 5, 32, 4, 5, 0.024092955514788628, 0.6824131011962891
allen-cahn, 5, 64, 4, 1, 0.023082774132490158, 0.5630654096603394
allen-cahn, 5, 64, 4, 2, 0.030733980238437653, 0.5627197623252869
allen-cahn, 5, 64, 4, 3, 0.013009155169129372, 0.5971122980117798
allen-cahn, 5, 64, 4, 4, 0.01475025899708271, 0.4627992808818817
allen-cahn, 5, 64, 4, 5, 0.014493267983198166, 0.5408324599266052
allen-cahn, 10, 2, 1, 1, 0.38497498631477356, 0.8245911598205566
allen-cahn, 10, 2, 1, 2, 0.666022777557373, 0.8309531807899475
allen-cahn, 10, 2, 1, 3, 1.4776792526245117, 0.9337027668952942
allen-cahn, 10, 2, 1, 4, 0.10805601626634598, 0.5647717118263245
allen-cahn, 10, 2, 1, 5, 0.15556146204471588, 0.6403284072875977
allen-cahn, 10, 4, 1, 1, 0.019015749916434288, 0.619610607624054
allen-cahn, 10, 4, 1, 2, 0.028337715193629265, 0.9069580435752869
allen-cahn, 10, 4, 1, 3, 0.07162395119667053, 0.5845105051994324
allen-cahn, 10, 4, 1, 4, 0.0591946616768837, 0.9876582026481628
allen-cahn, 10, 4, 1, 5, 0.08692749589681625, 0.6199249029159546
allen-cahn, 10, 8, 1, 1, 0.050381869077682495, 0.9520193338394165
allen-cahn, 10, 8, 1, 2, 0.028636766597628593, 0.7119655013084412
allen-cahn, 10, 8, 1, 3, 0.023977193981409073, 0.6725733280181885
allen-cahn, 10, 8, 1, 4, 0.10701078921556473, 1.1331183910369873
allen-cahn, 10, 8, 1, 5, 0.8419843912124634, 0.8572227954864502
allen-cahn, 10, 16, 1, 1, 0.038014478981494904, 0.9585909247398376
allen-cahn, 10, 16, 1, 2, 0.026169713586568832, 0.7863779067993164
allen-cahn, 10, 16, 1, 3, 0.02584744431078434, 0.6910532116889954
allen-cahn, 10, 16, 1, 4, 0.053923577070236206, 1.029336929321289
allen-cahn, 10, 16, 1, 5, 0.05098041146993637, 1.0174003839492798
allen-cahn, 10, 32, 1, 1, 0.022538045421242714, 0.7381691336631775
allen-cahn, 10, 32, 1, 2, 0.02386556565761566, 0.8387750387191772
allen-cahn, 10, 32, 1, 3, 0.02349197492003441, 0.808755099773407
allen-cahn, 10, 32, 1, 4, 0.024659547954797745, 0.8190779089927673
allen-cahn, 10, 32, 1, 5, 0.0301038920879364, 0.8806226253509521
allen-cahn, 10, 64, 1, 1, 0.020877007395029068, 0.7596569657325745
allen-cahn, 10, 64, 1, 2, 0.025775887072086334, 0.7189648747444153
allen-cahn, 10, 64, 1, 3, 0.0182406697422266, 0.6897091269493103
allen-cahn, 10, 64, 1, 4, 0.021871525794267654, 0.7143943309783936
allen-cahn, 10, 64, 1, 5, 0.02111131139099598, 0.7360956072807312
allen-cahn, 10, 2, 2, 1, 0.2889527380466461, 0.9792846441268921
allen-cahn, 10, 2, 2, 2, 0.5322803258895874, 1.2618868350982666
allen-cahn, 10, 2, 2, 3, 0.14432358741760254, 1.1506223678588867
allen-cahn, 10, 2, 2, 4, 0.26721107959747314, 0.6682552695274353
allen-cahn, 10, 2, 2, 5, 0.4024267792701721, 1.262131690979004
allen-cahn, 10, 4, 2, 1, 0.11081508547067642, 1.0660645961761475
allen-cahn, 10, 4, 2, 2, 0.2194003462791443, 1.1987495422363281
allen-cahn, 10, 4, 2, 3, 0.1638418734073639, 1.1651625633239746
allen-cahn, 10, 4, 2, 4, 0.33255285024642944, 0.6958774924278259
allen-cahn, 10, 4, 2, 5, 0.3616753816604614, 1.239426612854004
allen-cahn, 10, 8, 2, 1, 0.4352567195892334, 0.8921011090278625
allen-cahn, 10, 8, 2, 2, 0.8003265857696533, 0.852451741695404
allen-cahn, 10, 8, 2, 3, 0.10051311552524567, 0.6690822839736938
allen-cahn, 10, 8, 2, 4, 0.22115808725357056, 0.6789079308509827
